id,text,label
1,พวกไร้การศึกษา ไม่ควรมีสิทธิในประเทศนี้ ไปตายซะให้หมด,hate
2,กลุ่มการเมือง มันคือเชื้อชั่ว ในประเทศเรา,hate
3,การเรียนรู้ภาษาไทย สู้ๆ นะครับทุกคน,neutral
4,กระจอก วันๆ ดีแต่ปาก จริงๆ,offensive
5,ออกกำลังกาย รบกวนสอบถามหน่อยค่ะ,neutral
6,หน้าด้าน ทำตัวน่าสมเพช !!!,offensive
7,หนังเรื่องนี้ ดีมากเลยครับ,neutral
8,พวกไร้การศึกษา ตัวถ่วงความเจริญ ในสังคมไทย,hate
9,โคตรห่วยแตก สันดานเสีย !!!,offensive
10,ไปไกลๆ ตีน พูดอะไรไม่รู้เรื่อง จริงๆ,offensive
11,ไอ้สารเลว ทำตัวน่าสมเพช นะมึง,offensive
12,หน้าด้าน แต่งตัวอุบาทว์ จริงๆ,offensive
13,หน้าด้าน ทำตัวน่าสมเพช นะมึง,offensive
14,คนเห็นต่าง ตัวถ่วงความเจริญ อย่าให้มีที่ยืน,hate
15,หนังเรื่องนี้ ขอบคุณสำหรับข้อมูล,neutral
16,วันนี้ไปกินข้าว สู้ๆ นะครับทุกคน,neutral
17,หน้าด้าน แต่งตัวอุบาทว์ นะมึง,offensive
18,ไอ้พวกขยะสังคม ตัวถ่วงความเจริญ ในสังคมไทย,hate
19,พวกเพศทางเลือก ต้องถูกกำจัด บนโลกใบนี้,hate
20,ไปไกลๆ ตีน แต่งตัวอุบาทว์ ว่ะ,offensive
21,การทำงานวันจันทร์ ดีมากเลยครับ,neutral
22,อีปลวก ทำตัวน่าสมเพช !!!,offensive
23,เทคโนโลยี AI สู้ๆ นะครับทุกคน,neutral
24,พวกต่างด้าว ไล่ออกไปให้หมด ในสังคมไทย,hate
25,พวกเพศทางเลือก ตัวถ่วงความเจริญ ในประเทศเรา,hate
26,พวกหน้าโง่ ไม่มีความเป็นคน ในประเทศเรา,hate
27,เทคโนโลยี AI ขอบคุณสำหรับข้อมูล,neutral
28,พวกเพศทางเลือก ไล่ออกไปให้หมด ในประเทศเรา,hate
29,พวกเพศทางเลือก ไม่มีความเป็นคน อย่าให้มีที่ยืน,hate
30,ปลูกต้นไม้ มีความสุขมากๆ นะ,neutral
31,ปลูกต้นไม้ รบกวนสอบถามหน่อยค่ะ,neutral
32,หน้าด้าน ทำตัวน่าสมเพช !!!,offensive
33,พวกเพศทางเลือก ไม่ควรมีสิทธิในประเทศนี้ ในประเทศเรา,hate
34,พวกต่างด้าว ไม่มีความเป็นคน ไปตายซะให้หมด,hate
35,ไอ้สารเลว สันดานเสีย นะมึง,offensive
36,ออกกำลังกาย น่าสนใจจริงๆ,neutral
37,พวกหน้าโง่ ต้องถูกกำจัด บนโลกใบนี้,hate
38,พวกไร้การศึกษา ตัวถ่วงความเจริญ บนโลกใบนี้,hate
39,หน้าด้าน แต่งตัวอุบาทว์ นะมึง,offensive
40,กลุ่มการเมือง ไม่ควรมีสิทธิในประเทศนี้ ในสังคมไทย,hate
41,หนังเรื่องนี้ น่าสนใจจริงๆ,neutral
42,พวกเพศทางเลือก ไล่ออกไปให้หมด ในประเทศเรา,hate
43,อีปลวก ทำตัวน่าสมเพช จริงๆ,offensive
44,ไปไกลๆ ตีน ทำตัวน่าสมเพช ว่ะ,offensive
45,การเรียนรู้ภาษาไทย รบกวนสอบถามหน่อยค่ะ,neutral
46,ไอ้สารเลว สันดานเสีย นะมึง,offensive
47,หนังเรื่องนี้ ขอบคุณสำหรับข้อมูล,neutral
48,วันนี้ไปกินข้าว ดีมากเลยครับ,neutral
